local_w,odometry_theta
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.06097560975609756,0.0
-0.06097560975609756,0.0
-0.06097560975609756,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.06097560975609756,0.0
-0.06097560975609756,0.0
-0.06097560975609756,0.0
-0.06097560975609756,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.7317073170731708,0.0
-0.7317073170731708,0.0
-0.7317073170731708,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.7926829268292683,0.0
-0.7926829268292683,0.0
-0.7926829268292683,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.7926829268292683,0.0
-0.7926829268292683,0.0
-0.7926829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.853658536585366,0.0
-0.853658536585366,0.0
-0.853658536585366,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.6707317073170732,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.5487804878048781,0.0
-0.7317073170731708,0.0
-0.7317073170731708,0.0
-0.7317073170731708,0.0
-0.7317073170731708,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.426829268292683,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.48780487804878053,0.0
-0.48780487804878053,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.6097560975609757,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.1829268292682927,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.12195121951219512,0.0
-0.12195121951219512,0.0
-0.12195121951219512,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.30487804878048785,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.426829268292683,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.24390243902439027,0.0
-0.3658536585365854,0.0
-0.3658536585365854,0.0
